Provider_Name,Facility_Type,Town,Address,Phone,Website,Subsidized_Childcare,License_Number,Type,Effective_Date,Ages,Max_Capacity,Tuition_Insight,Tuition_Notes,State_Link
The Learning Experience at Mt Holly,Child Care Center,Charlotte,"8208 Mt. Holly-Huntersville Rd
HUNTERSVILLE, NC  28216
Mecklenburg County",(980) 299-1811,https://thelearningexperience.com/centers/charlotte-mt-holly/,No,60004376,Three Star Center License,5/19/2025,0-12,167,Data not available,won't give out tuition information over the phone,https://ncchildcare.ncdhhs.gov/childcaresearch
Unique Kidz,Family Child Care Home,Charlotte,"4711 FOX THORNE DRIVE
CHARLOTTE, NC  28216
Mecklenburg County",(704) 724-0376,Data not available,Yes,60002455,Four Star Family CC Home License,9/12/2022,0-12,"8 (first shift), 5 (second shift)",$170-220 / week,"Full day, 6:00am-5:30pm
$220 / week (infant, 1 year, 2 years, 3 years)
$262 / week (4 years)
$190 / week  (5 years)
$170 / week (school age)",https://ncchildcare.ncdhhs.gov/childcaresearch
Cornelius After School Enrichment Program,Child Care Center,Cornelius,"21126 CATAWBA AVENUE
CORNELIUS, NC  28031
Mecklenburg County",(980) 343-3905,https://cmsk12.reg.eleyo.com/child-care/1/after-school-enrichment-program/site/251/cornelius-elementary,Yes,6055741,Four Star Center License,5/3/2018,5-12,100,$57-115 per week,"$57/wk (6:45-8:45 before school)
$63/wk (3:45-6:00 after school)
$115/wk (before & after school)
$??/yr (6:45-6:00 workday/early release)",https://ncchildcare.ncdhhs.gov/childcaresearch
J V Washam Elementary Asep,Child Care Center,Cornelius,"9611 WESTMORELAND ROAD
CORNELIUS, NC  28031
Mecklenburg County",(980) 343-1071,https://cmsk12.reg.eleyo.com/child-care/1/after-school-enrichment-program/site/210/j-v-washam-elementary,Yes,60002728,Five Star Center License,6/16/2017,4-12,150,$86 per week,"$86/wk (2:45-6:00 after school)
$??/yr (6:45-6:00 workday/early release)",https://ncchildcare.ncdhhs.gov/childcaresearch
Kid City Usa Lake Norman,Child Care Center,Cornelius,"19619 W CATAWBA AVE
CORNELIUS, NC  28031
Mecklenburg County",(704) 626-2899,https://kidcityusa.com/locations/north-carolina/cornelius/,Yes,60004148,Five Star Center License,2/28/2022,0-12,192,Data not available,"not on website, did not pick up",https://ncchildcare.ncdhhs.gov/childcaresearch
Kiddie Academy of Cornelius,Child Care Center,Cornelius,"17026 Kenton Drive
CORNELIUS, NC  28031
Mecklenburg County",(704) 970-9000,https://kiddieacademy.com/academies/cornelius/,No,60004292,Three Star Center License,4/3/2024,0-12,177,$330-400 per week,"infant to 5, infant $400/wk, toddler $375/wk, 2s $140/wk, 5 day program + 2 day program, 3s $335/wk, 4s $330/wk, 5s $330/wk",https://ncchildcare.ncdhhs.gov/childcaresearch
Kindercare - Cornelius,Child Care Center,Cornelius,"9340 WASHAM-POTTS RD
CORNELIUS, NC  28031
Mecklenburg County",(980) 809-4885,https://www.kindercare.com/our-centers/cornelius/nc/086032,Yes,60004207,Four Star Center License,9/22/2022,0-12,125,$335-390 per week,"infants $390/wk, tod $370/wk, 2s $350, 3s-5s $335/wk",https://ncchildcare.ncdhhs.gov/childcaresearch
LeafSpring School at Cornelius,Child Care Center,Cornelius,"18110 Statesville Road
CORNELIUS, NC  28031
Mecklenburg County",(704) 235-3020,https://cornelius.leafspringschool.com,No,60004373,Four Star Center License,5/1/2025,0-5,194,$370-$462 per week,"infants $462/wk, 1-2s $430/wk, 2-3 $405, 3-4 $380, 4-5 $370",https://ncchildcare.ncdhhs.gov/childcaresearch
LeafSpring School at Cornelius - The Village,Child Care Center,Cornelius,"18120 Statesville Road
CORNELIUS, NC  28031
Mecklenburg County",(704) 235-3020,https://cornelius.leafspringschool.com/program/school-age-recreation-in-the-village/,No,60004372,Four Star Center License,5/1/2025,3-12,199,$160 per week,"afterschool $160/wk for 5 day, 3 day $130",https://ncchildcare.ncdhhs.gov/childcaresearch
Little Life Academy,Child Care Center,Cornelius,"20010 CHARTOWN DRIVE
CORNELIUS, NC  28031
Mecklenburg County",(704) 312-1055,https://www.littlelifeacademy.org,No,60003842,GS 110-106,9/28/2017,2-5,90,$280 per week,$280 weekly,https://ncchildcare.ncdhhs.gov/childcaresearch
Primrose School of Cornelius,Child Care Center,Cornelius,"19640 JETTON ROAD
CORNELIUS, NC  28031
Mecklenburg County",(704) 895-3300,https://www.primroseschools.com/schools/cornelius,Yes,60003089,One Star Center License,5/7/2013,0-12,172,Data not available,"determined by each independently owned and operated school and varies based on the child’s age and the school location
THEY SHUT ME DOWN (cordially)",https://ncchildcare.ncdhhs.gov/childcaresearch
The Goddard School of Cornelius,Child Care Center,Cornelius,"18110 MANHATTEN PARKWAY
CORNELIUS, NC  28031
Mecklenburg County",(704) 894-0454,https://www.goddardschool.com/schools/nc/cornelius/cornelius,Yes,60004008,Four Star Center License,5/2/2020,0-12,276,$357-445 per week,"5 days a week, 7AM - 6PM
Infant: $1780/month
1: $1865/month
1/2: $1536/month
2/3: $1447/month
3/4: $1427/month

No fee to be on waitlist
Whether there is a waitlist depends on age (as you trend younger there tends to be one)",https://ncchildcare.ncdhhs.gov/childcaresearch
Char. Meck. Asep. Davidson Elementary,Child Care Center,Davidson,"635 SOUTH ST
DAVIDSON, NC  28036
Mecklenburg County",(980) 343-3900,https://cmsk12.reg.eleyo.com/child-care/1/after-school-enrichment-program/site/246/davidson-elementary,Yes,60000644,Four Star Center License,3/15/2022,5-12,100,$51-119 per week,"$51/wk (6:45-8:30 before school)
$69/wk (3:30-6:00 after school)
$115/wk (before & after school)
$??/yr (6:45-6:00 workday/early release)",https://ncchildcare.ncdhhs.gov/childcaresearch
Davidson-Cornelius Child Development Center,Child Care Center,Davidson,"242 GAMBLE STREET
DAVIDSON, NC  28036
Mecklenburg County",(704) 892-1228,https://www.dc-childdevelopmentcenter.org,Yes,6050427,Five Star Center License,9/3/2019,0-12,69,$322-394 per week,"$1,575.00 (per month Infant)
$1,455.00 (per month toddler 1 class)
$1,380.00 (per month toddler 2 class)
$1,286.00 (per month PK-1 & PK-2)",https://ncchildcare.ncdhhs.gov/childcaresearch
The Children’s House,Child Care Center,Davidson,"412 ARMOUR STREET
DAVIDSON, NC  28036
Mecklenburg County",(704) 975-6753,https://thechildrenshouse.us,No,60003673,One Star Center License,2/25/2016,1-6,29,$276-421 per week,"$11,024 (Morning 8 AM-11:45 AM)
$13,054 (School Day 8 AM – 2:25 PM)
$14,569 (School Day+ 8 AM – 3:25 PM)
$16,826 (Full Day 7:45 AM – 4:25 PM)",https://ncchildcare.ncdhhs.gov/childcaresearch
Barnette Elementary Asep,Child Care Center,Huntersville,"13659 BEATTIES FORD ROAD
HUNTERSVILLE, NC  28078
Mecklenburg County",(980) 343-0372,Currently unavailable,Yes,60002981,Four Star Center License,2/15/2022,5-12,196,$80 per week,"$80/wk (3:00-6:00 after school)
$??/yr (6:45-6:00 workday/early release)",https://ncchildcare.ncdhhs.gov/childcaresearch
Blythe Elementary Asep,Child Care Center,Huntersville,"12202 HAMBRIGHT RD
HUNTERSVILLE, NC  28078
Mecklenburg County",(980) 343-5770,https://cmsk12.reg.eleyo.com/child-care/1/after-school-enrichment-program/site/221/blythe-elementary,Yes,60001397,Five Star Center License,2/10/2020,5-12,150,$80 per week,"$80/wk (3:00-6:00 after school)
$??/yr (6:45-6:00 workday/early release)",https://ncchildcare.ncdhhs.gov/childcaresearch
Cadence Academy Preschool Kenton,Child Care Center,Huntersville,"16420 SEDGEBROOK LANE
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 655-7336,https://www.cadence-education.com/locations/nc/huntersville/714/,Yes,60002688,Five Star Center License,10/7/2019,0-12,199,$343-427 per week,"6-12 months old (infant)
5 days a week: $427
3 days a week: $331
2 days a week: $267
12-24months old
5 days a week: $389-415
3 days a week: $302-322
2 days a week: $244-260
3-5 years old
5 days a week: $368
3 days a week: $286
2 days a week: $230
4-5 years old
Before and after school care: $158 5 days a week
Summer camp 5-12
5 days a week: $343
3 days a week: $266
2 days a week: $215
Drop in care $100 flat rate
Reservation $100, then $150 for 2 or more children
",https://ncchildcare.ncdhhs.gov/childcaresearch
Chesterbrook Academy,Child Care Center,Huntersville,"13740 STATESVILLE ROAD
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 875-1177,https://www.chesterbrookacademy.com/preschools/nc/charlotte/huntersville/,Yes,60001460,Three Star Center License,8/16/2021,0-12,161,Data not available,They'd only tell me if I physically came in,https://ncchildcare.ncdhhs.gov/childcaresearch
Childtime Childrens Center,Child Care Center,Huntersville,"13805 BOREN STREET
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 875-9033,https://www.childtime.com/your-local-school/huntersville-nc-2009/,Yes,60001516,Five Star Center License,9/10/2021,0-12,145,$157-427 per week,"Infant $427/week, Toddler(1-2) $417/week, Twos(2-2.5) $375/week, Early Preschool(2.5-3) $352/week, Afterschool $157/week, Summer camp $235/week",https://ncchildcare.ncdhhs.gov/childcaresearch
Community Preschool of Huntersville,Child Care Center,Huntersville,"10205 Sam Furr Rd
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 457-8002,https://www.communitypreschoolhuntersville.com,No,60004309,One Star Center License,5/15/2024,0-10,230,Data not available,"not on website, didn't pick up, left voice message",https://ncchildcare.ncdhhs.gov/childcaresearch
First Baptist Child Development Center,Child Care Center,Huntersville,"119 N OLD STATESVILLE ROAD
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 875-1520,https://www.fbc-h.org/daycare/,Yes,6055651,GS 110-106,3/25/2021,0-12,90,Data not available,"Not listed, didn't pick up, sent email",https://ncchildcare.ncdhhs.gov/childcaresearch
