School_ID,School_Name,Agency_Name,School_Type,Charter_School,Private_School,Address,City,ZIP,Latitude,Longitude,Phone_Number,Web_Site_URL,Lowest_Grade,Highest_Grade,School_Level,Total_Students,FRP_Lunch_Students,Male_Students,Female_Students,Total_Race_Ethnicity,AIAN_Students,pct_AIAN_Students,AAPI_Students,pct_AAPI_Students,Hispanic_Students,pct_Hispanic_Students,Black_AA_Students,pct_Black_Students,White_Students,pct_White_Students,NHPI_Students,pct_NHPI_Students,Two_More_Students,pct_Two_More_Students,Religious_Affiliation_Orientation,Total_Students_PK_12,Total_Students_K_12
370048103618,Aspire Trade High,Aspire Trade High School,3-Career and Technical School,1-Yes,2-No,7125 Hambright Rd,Huntersville,28078,35.377844,-80.906664,7042788009,http://aspiretradehs.org/,9 ,10 ,Secondary,196,Not applicable,137,59,196,0,0,1,0.5102040816326531,52,26.53061224489796,65,33.16326530612245,63,32.142857142857146,0,0,15,7.653061224489796,NA,NA,NA
370297002870,Bailey Middle,Charlotte-Mecklenburg Schools,1-Regular school,2-No,2-No,11900 Bailey Rd,Cornelius,28031,35.467500,-80.838000,9803431068,http://baileymiddleschool.wearecms.com,6 ,8 ,Middle,1325,289.0,656,669,1325,0,0,81,6.113207547169811,212,16,127,9.584905660377359,838,63.24528301886792,3,0.22641509433962265,64,4.830188679245283,NA,NA,NA
370297003023,Barnette Elementary,Charlotte-Mecklenburg Schools,1-Regular school,2-No,2-No,13659 Beatties Ford Rd,Huntersville,28078,35.399800,-80.924900,9803430372,http://barnetteelementaryschool.wearecms.com,Pre-K,5 ,Elementary,817,269.0,429,388,817,2,0.24479804161566704,36,4.406364749082008,119,14.56548347613219,180,22.031823745410037,428,52.38678090575275,0,0,52,6.364749082007344,NA,NA,NA
A1903267,Beatties Ford Rd. Voc. Trade,BEATTIES FORD RD. VOC.TRADE,1-Regular school,2-No,1-Yes,1406 Beatties Ford Rd,Charlotte,28216,NA,NA,9803494067,NA,10.0,12.0,Secondary,13,Not applicable,NA,NA,NA,0,0,0,0,0,0,11,84.62,2,15.38,0,0,0,0,3-Nonsectarian,13,13
01013584,Berean Jr Academy,BEREAN JR ACADEMY,1-Regular school,2-No,1-Yes,3748 Beatties Ford Rd,Charlotte,28216,NA,NA,7043917666,NA,K,8.0,Elementary,49,Not applicable,NA,NA,NA,0,0,0,0,2,4.08,47,95.92,0,0,0,0,0,0,2-Other religious,49,49
370297002397,Blythe Elementary,Charlotte-Mecklenburg Schools,1-Regular school,2-No,2-No,12202 Hambright Rd,Huntersville,28078,35.376400,-80.835300,9803435770,http://blytheelementaryschool.wearecms.com,Pre-K,5 ,Elementary,884,881.0,464,420,884,4,0.4524886877828055,55,6.221719457013575,193,21.832579185520363,508,57.466063348416284,83,9.389140271493213,0,0,41,4.638009049773756,NA,NA,NA
370044903503,Bonnie Cone Classical Academy,Bonnie Cone Classical Academy,1-Regular school,1-Yes,2-No,10700 Asbury Chapel Road,Huntersville,28078,35.371846,-80.808447,7049484439,http://www.bccaschools.org/,K,6 ,Elementary,546,Not applicable,273,273,546,4,0.7326007326007326,46,8.424908424908425,76,13.91941391941392,282,51.64835164835166,74,13.553113553113553,2,0.3663003663003663,62,11.355311355311356,NA,NA,NA
370047903617,Bonnie Cone Leadership Academy,Bonnie Cone Leadership Academy,1-Regular school,1-Yes,2-No,16115 Poplar Tent Road,Huntersville,28078,35.435603,-80.765115,7047556800,http://www.bonniecone.org/leadership,K,11 ,Other,1076,Not applicable,539,537,1076,8,0.7434944237918215,90,8.364312267657994,176,16.356877323420075,397,36.89591078066915,305,28.345724907063197,0,0,100,9.293680297397769,NA,NA,NA
A1903282,Cedarwood Academy,CEDARWOOD ACADEMY,NA,2-No,1-Yes,8611 Concord Mills Blvd Pmb 425,Concord,28027,NA,NA,7042816694,NA,Pre-K,5.0,Elementary,40,Not applicable,NA,NA,NA,0,0,1,3.85,1,3.85,1,3.85,23,88.46,0,0,0,0,3-Nonsectarian,40,26
A1903284,Charlotte Leadership Academy,CHARLOTTE LEADERSHIP ACADEMY,1-Regular school,2-No,1-Yes,8727 Oak Dr NE,Charlotte,28269,NA,NA,7049311196,NA,K,12.0,Other,49,Not applicable,NA,NA,NA,0,0,0,0,1,2.04,48,97.96,0,0,0,0,0,0,2-Other religious,49,49
A9903361,Christian Montessori School at Lake Norman,CHRISTIAN MONTESSORI SCHOOL AT LAKE NORMAN,2-Montessori,2-No,1-Yes,14101 Stumptown Rd,Huntersville,28078,NA,NA,7048751801,NA,Pre-K,K,Elementary,87,Not applicable,NA,NA,NA,0,0,0,0,0,0,0,0,2,100,0,0,0,0,3-Nonsectarian,87,2
370013502736,Community School of Davidson,Community School of Davidson,1-Regular school,1-Yes,2-No,404 Armour Street,Davidson,28036,35.507796,-80.852808,7048978061,http://www.csdspartans.org,K,12 ,Other,1572,Not applicable,773,799,1572,1,0.06361323155216285,56,3.5623409669211195,143,9.096692111959287,62,3.9440203562340965,1226,77.98982188295165,0,0,84,5.343511450381679,NA,NA,NA
370297001205,Cornelius Elementary,Charlotte-Mecklenburg Schools,1-Regular school,2-No,2-No,21126 Catawba Ave,Cornelius,28031,35.481907,-80.863997,9803433905,http://corneliuselementaryschool.wearecms.com,K,5 ,Elementary,556,166.0,280,276,556,0,0,27,4.856115107913669,85,15.287769784172662,59,10.611510791366907,352,63.30935251798561,0,0,33,5.935251798561151,NA,NA,NA
A0108105,Davidson Day School,DAVIDSON DAY SCHOOL,1-Regular school,2-No,1-Yes,750 Jetton St,Davidson,28036,NA,NA,7042375200,NA,Pre-K,12.0,Other,496,Not applicable,NA,NA,NA,2,0.44,13,2.89,9,2,28,6.22,390,86.67,0,0,8,1.78,3-Nonsectarian,496,450
A1702744,Davidson Green School,DAVIDSON GREEN SCHOOL,3-Special Program Emphasis,2-No,1-Yes,511 S Main ST,Davidson,28036,NA,NA,5402731000,NA,Pre-K,8.0,Elementary,57,Not applicable,NA,NA,NA,0,0,0,0,0,0,1,2.13,46,97.87,0,0,0,0,3-Nonsectarian,57,47
370297001208,Davidson K-8 School,Charlotte-Mecklenburg Schools,1-Regular school,2-No,2-No,635 South St,Davidson,28036,35.489800,-80.848400,9803433900,http://davidsonelementaryschool.wearecms.com,K,8 ,Elementary,1185,146.0,593,592,1185,1,0.08438818565400844,56,4.725738396624473,134,11.308016877637131,51,4.30379746835443,900,75.9493670886076,2,0.16877637130801687,41,3.459915611814346,NA,NA,NA
370297002395,Francis Bradley Middle,Charlotte-Mecklenburg Schools,1-Regular school,2-No,2-No,13345 Beatties Ford Rd,Huntersville,28078,35.396700,-80.924600,9803435750,http://francisbradleymiddleschool.wearecms.com,6 ,8 ,Middle,1067,495.0,539,528,1067,0,0,31,2.9053420805998127,243,22.774133083411435,372,34.864104967197754,386,36.17619493908153,1,0.09372071227741331,34,3.1865042174320526,NA,NA,NA
A1903307,Friendship Day School for Sci. / the Arts,FRIENDSHIP DAY SCHOOL FOR SCI. / THE ARTS,1-Regular school,2-No,1-Yes,3301 Beatties Ford Rd,Charlotte,28216,NA,NA,7043916674,NA,K,2.0,Elementary,53,Not applicable,NA,NA,NA,0,0,0,0,0,0,51,96.23,0,0,0,0,2,3.77,3-Nonsectarian,53,53
A0502647,Grace Covenant Academy,GRACE COVENANT ACADEMY,1-Regular school,2-No,1-Yes,17301 Statesville Rd,Cornelius,28031,NA,NA,7048925601,NA,Pre-K,7.0,Elementary,201,Not applicable,NA,NA,NA,0,0,0,0,4,2.6,2,1.3,147,95.45,0,0,1,0.65,2-Other religious,201,154
370297003273,Grand Oak Elementary,Charlotte-Mecklenburg Schools,1-Regular school,2-No,2-No,15410 Stumptown Rd,Huntersville,28078,35.426503,-80.871980,9803432063,http://grandoakelementaryschool.wearecms.com,K,5 ,Elementary,526,103.0,278,248,526,0,0,19,3.6121673003802277,70,13.307984790874524,51,9.695817490494296,360,68.44106463878326,0,0,26,4.942965779467681,NA,NA,NA
AA000352,Guidepost Montessori School,GUIDEPOST MONTESSORI SCHOOL,2-Montessori,2-No,1-Yes,4755 Prosperity Church Rd,Charlotte,28269,NA,NA,7045036000,NA,Pre-K,7.0,Elementary,186,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-Nonsectarian,186,53
A1992064,Guidepost Montessori at Lake Norman,GUIDEPOST MONTESSORI AT LAKE NORMAN,2-Montessori,2-No,1-Yes,15115 Norman View Ln,Huntersville,28078,NA,NA,7048855080,NA,Pre-K,1.0,Elementary,13,Not applicable,NA,NA,NA,0,0,0,0,2,40,0,0,3,60,0,0,0,0,3-Nonsectarian,13,5
370297002593,Hopewell High School,Charlotte-Mecklenburg Schools,1-Regular school,2-No,2-No,11530 Beatties Ford Rd,Huntersville,28078,35.378400,-80.911000,9803435988,http://hopewellhighschool.wearecms.com,9 ,12 ,High,1774,858.0,872,902,1774,2,0.11273957158962795,48,2.705749718151071,369,20.80045095828636,850,47.91431792559188,412,23.22435174746336,1,0.05636978579481398,92,5.186020293122886,NA,NA,NA
370297001226,Huntersville Elementary,Charlotte-Mecklenburg Schools,1-Regular school,2-No,2-No,200 Gilead Rd,Huntersville,28078,35.411600,-80.846900,9803433835,http://huntersvilleelementaryschool.wearecms.com,K,5 ,Elementary,893,206.0,456,437,893,0,0,107,11.98208286674132,153,17.133258678611423,112,12.541993281075028,482,53.97536394176932,0,0,39,4.367301231802911,NA,NA,NA
370297001189,J. M. Alexander Middle,Charlotte-Mecklenburg Schools,1-Regular school,2-No,2-No,12010 Hambright Rd,Huntersville,28078,35.376721,-80.838144,9803433830,http://jmalexandermiddleschool.wearecms.com,6 ,8 ,Middle,802,799.0,385,417,802,5,0.6234413965087282,21,2.6184538653366585,242,30.174563591022448,462,57.605985037406484,40,4.987531172069826,0,0,32,3.99002493765586,NA,NA,NA
370297002891,J.V. Washam Elementary,Charlotte-Mecklenburg Schools,1-Regular school,2-No,2-No,9611 Westmoreland Rd,Cornelius,28031,35.466500,-80.868000,9803431071,http://jvwashamelementaryschool.wearecms.com,K,5 ,Elementary,810,183.0,404,406,810,1,0.12345679012345678,34,4.197530864197531,103,12.716049382716049,70,8.641975308641975,556,68.64197530864197,0,0,46,5.679012345679013,NA,NA,NA
370006402399,Lake Norman Charter,Lake Norman Charter,1-Regular school,1-Yes,2-No,12435 Old Statesville Road,Huntersville,28078,35.390700,-80.835700,7049488600,http://www.lncharter.org,K,12 ,Other,2212,Not applicable,1125,1087,2212,10,0.45207956600361665,400,18.083182640144667,148,6.6907775768535265,250,11.301989150090415,1240,56.05786618444847,0,0,164,7.414104882459313,NA,NA,NA
A0902505,Lake Norman Christian School,LAKE NORMAN CHRISTIAN SCHOOL,1-Regular school,2-No,1-Yes,PO Box 4267,Davidson,28036,NA,NA,7049879811,NA,K,12.0,Other,119,Not applicable,NA,NA,NA,4,3.36,2,1.68,14,11.76,15,12.61,80,67.23,1,0.84,3,2.52,2-Other religious,119,119
370037103335,Lakeside Charter Academy,Lakeside Charter Academy,1-Regular school,1-Yes,2-No,17609 Old Statesville Rd,Cornelius,28031,35.451880,-80.843617,7048969500,http://www.lakesidecharteracademy.com,K,8 ,Elementary,278,Not applicable,151,127,278,0,0,11,3.9568345323741005,78,28.05755395683453,62,22.302158273381295,110,39.568345323741006,2,0.7194244604316548,15,5.39568345323741,NA,NA,NA
370297001236,Long Creek Elementary,Charlotte-Mecklenburg Schools,1-Regular school,2-No,2-No,9213-A Beatties Ford Rd,Huntersville,28078,35.349451,-80.890689,9803436095,http://longcreekelementaryschool.wearecms.com,K,5 ,Elementary,498,495.0,249,249,498,2,0.4016064257028112,12,2.4096385542168677,93,18.67469879518072,322,64.65863453815261,39,7.83132530120482,1,0.2008032128514056,29,5.8232931726907635,NA,NA,NA
